claim_id,vehicle_id,claim_date,claim_amount,claim_status,component
W30387,V19475,2022-02-11,1289,Rejected,AC
W30388,V11456,2024-05-25,5952,Rejected,Engine
W30389,V10506,2024-03-02,4423,Rejected,AC
W30390,V13386,2024-08-13,6360,Rejected,Brake Pad
W30391,V18612,2022-12-21,3721,Approved,Suspension
W30392,V10829,2023-06-01,13853,Approved,Battery
W30393,V11051,2023-12-17,3337,Approved,Brake Pad
W30394,V14441,2022-09-09,13199,Approved,Brake Pad
W30395,V19286,2023-11-22,3522,Approved,Suspension
W30396,V17624,2022-11-15,6650,Rejected,Transmission
W30397,V11677,2022-08-29,12055,Rejected,Battery
W30398,V10091,2024-01-20,11109,Rejected,Engine
W30399,V16849,2023-12-24,11945,Approved,AC
W30400,V12448,2023-06-06,5937,Approved,Suspension
W30401,V10718,2023-12-11,6145,Approved,Transmission
W30402,V17220,2024-06-04,5285,Approved,AC
W30403,V11867,2024-06-25,12576,Approved,Suspension
W30404,V18474,2024-02-02,9076,Approved,Battery
W30405,V10083,2023-12-01,2583,Rejected,Brake Pad
W30406,V15319,2022-04-09,13790,Approved,Engine
W30407,V17227,2024-02-28,10699,Rejected,Transmission
W30408,V15197,2022-11-20,6415,Approved,Transmission
W30409,V10975,2024-06-16,13886,Approved,Engine
W30410,V19678,2022-08-09,14183,Approved,Brake Pad
W30411,V12471,2024-08-14,9630,Approved,Engine
W30412,V15292,2024-06-23,5954,Approved,Suspension
W30413,V16351,2024-07-12,14851,Approved,Brake Pad
W30414,V13723,2024-06-10,3186,Approved,AC
W30415,V10822,2023-07-24,4507,Approved,AC
W30416,V14103,2022-02-25,10684,Approved,Battery
W30417,V18857,2023-06-29,14557,Approved,AC
W30418,V12407,2023-12-18,5540,Approved,Suspension
W30419,V17041,2024-03-23,1576,Approved,Suspension
W30420,V19922,2022-12-09,2032,Rejected,Transmission
W30421,V17025,2024-07-17,12514,Approved,Suspension
W30422,V18863,2022-01-14,7859,Approved,Transmission
W30423,V12254,2023-07-01,9240,Approved,AC
W30424,V13770,2024-08-24,14647,Rejected,Brake Pad
W30425,V10180,2024-01-04,14354,Approved,Transmission
W30426,V10101,2023-01-12,9086,Approved,Brake Pad
W30427,V14018,2023-03-03,11870,Approved,Transmission
W30428,V16428,2022-06-20,3391,Approved,Battery
W30429,V16133,2023-05-23,10825,Approved,Suspension
W30430,V19570,2024-06-09,11758,Approved,Brake Pad
W30431,V10745,2024-06-22,5493,Rejected,AC
W30432,V12702,2023-08-09,11142,Approved,Brake Pad
W30433,V16006,2022-05-11,5349,Approved,AC
W30434,V13153,2023-08-28,9688,Approved,Battery
W30435,V14113,2024-04-16,1903,Approved,Engine
W30436,V13105,2023-02-18,6777,Approved,Transmission
W30437,V15095,2024-07-30,3206,Approved,AC
W30438,V18190,2023-12-14,10051,Approved,Engine
W30439,V13155,2022-04-28,8257,Approved,Suspension
W30440,V18724,2024-04-01,5004,Rejected,Battery
W30441,V14449,2024-03-23,7750,Approved,Transmission
W30442,V13372,2022-04-06,12866,Approved,Transmission
W30443,V14987,2024-02-15,3248,Approved,Transmission
W30444,V19213,2024-04-07,12255,Approved,AC
W30445,V16912,2022-02-03,9649,Rejected,Suspension
W30446,V12422,2022-03-14,12074,Approved,AC
W30447,V17646,2023-01-10,8700,Approved,Transmission
W30448,V13369,2023-09-08,7480,Approved,AC
W30449,V16680,2022-02-24,9898,Approved,Brake Pad
W30450,V11262,2024-05-07,7192,Approved,AC
W30451,V14268,2023-07-01,6449,Approved,Transmission
W30452,V19567,2024-09-22,12828,Approved,Brake Pad
W30453,V18397,2024-01-21,2818,Approved,AC
W30454,V19844,2023-11-23,2067,Approved,Brake Pad
W30455,V14057,2022-03-17,14008,Rejected,AC
W30456,V13305,2024-04-25,5340,Approved,Suspension
W30457,V17997,2022-10-18,13594,Approved,Suspension
W30458,V17188,2022-08-04,2469,Approved,Transmission
W30459,V16516,2023-01-18,9714,Rejected,Transmission
W30460,V10308,2022-03-29,7485,Approved,AC
W30461,V10631,2022-03-11,13573,Approved,Suspension
W30462,V16719,2023-03-03,8237,Approved,Transmission
W30463,V16314,2024-07-27,4299,Approved,AC
W30464,V15683,2022-04-01,13103,Approved,Suspension
W30465,V19198,2024-07-06,1884,Approved,Transmission
W30466,V17834,2024-08-11,4753,Rejected,Battery
W30467,V14537,2023-04-22,5714,Approved,Engine
W30468,V17947,2023-06-24,9774,Approved,Suspension
W30469,V18856,2022-10-26,3912,Approved,Suspension
W30470,V13376,2024-06-13,13917,Approved,Suspension
W30471,V17434,2023-10-01,8496,Approved,Suspension
W30472,V19201,2022-09-17,11625,Approved,Transmission
W30473,V15133,2022-07-03,3546,Approved,Brake Pad
W30474,V10403,2024-08-19,1105,Approved,AC
W30475,V14880,2023-04-10,4993,Approved,Brake Pad
W30476,V16286,2022-10-05,14609,Approved,Suspension
W30477,V14770,2024-03-18,7868,Approved,AC
W30478,V14558,2023-12-24,5007,Approved,Brake Pad
W30479,V11109,2024-09-01,13439,Approved,AC
W30480,V19378,2023-01-01,14018,Approved,Brake Pad
W30481,V14380,2024-05-02,6278,Approved,Suspension
W30482,V10039,2024-08-31,14286,Approved,Brake Pad
W30483,V11646,2023-05-21,2323,Approved,Engine
W30484,V16364,2023-09-09,4799,Rejected,AC
W30485,V17879,2024-02-06,13527,Rejected,Transmission
W30486,V19767,2022-04-01,2300,Approved,Engine
W30487,V19939,2024-06-28,11428,Rejected,Transmission
W30488,V18056,2024-04-30,13370,Approved,AC
W30489,V19680,2022-06-02,1899,Approved,Brake Pad
W30490,V19625,2022-10-22,14241,Approved,Transmission
W30491,V18084,2024-03-20,6868,Approved,Transmission
W30492,V12001,2022-10-03,9258,Rejected,Battery
W30493,V18170,2023-12-03,7103,Approved,Battery
W30494,V11491,2022-01-24,4989,Rejected,Engine
W30495,V11427,2022-06-05,12919,Approved,AC
W30496,V13167,2023-03-19,4333,Approved,Engine
W30497,V17998,2023-03-13,13354,Rejected,Engine
W30498,V16582,2022-04-22,6096,Approved,Suspension
W30499,V18593,2024-09-24,6955,Approved,Transmission
W30500,V19014,2024-09-23,13377,Approved,AC
W30501,V13267,2023-02-12,12561,Approved,Engine
W30502,V14151,2022-02-13,3310,Approved,Transmission
W30503,V18182,2022-01-11,13076,Approved,Transmission
W30504,V16848,2022-06-01,4688,Rejected,Brake Pad
W30505,V17866,2022-09-03,9850,Rejected,Engine
W30506,V14675,2024-06-17,7530,Approved,AC
W30507,V19644,2022-11-18,1834,Approved,Battery
W30508,V10832,2023-05-17,3071,Rejected,Transmission
W30509,V19639,2023-12-15,11163,Rejected,Suspension
W30510,V11190,2022-07-25,9470,Rejected,Brake Pad
W30511,V16560,2022-10-20,4064,Approved,Battery
W30512,V14255,2023-03-15,3708,Approved,AC
W30513,V16689,2022-02-27,1964,Approved,Suspension
W30514,V10410,2024-01-02,4005,Approved,Suspension
W30515,V12957,2022-11-14,11793,Approved,AC
W30516,V19079,2023-01-23,7055,Approved,Transmission
