vehicle_id,model,year,mileage,region
V10166,AutoMax,2020,43273.0,SOUTH
V10167,UrbanGo,2021,5755.0,South
V10168,UrbanGo,2019,51283.0,SOUTH
V10169,UrbanGo,2020,16506.0,south zone
V10170,AutoMax,2016,80153.0,SOUTH
V10171,EcoDrive,2019,81166.0,West
V10172,EcoDrive,2020,34141.0,South
V10173,SpeedX,2020,43310.0,East
V10174,EcoDrive,2018,5852.0,East
V10175,UrbanGo,2017,37304.0,South
V10176,TurboPro,2015,19695.0,SOUTH
V10177,AutoMax,2019,47527.0,East
V10178,AutoMax,2017,41628.0,North
V10179,TurboPro,2019,80033.0,SOUTH
V10180,TurboPro,2016,41834.0,SOUTH
V10181,UrbanGo,2018,47338.0,SOUTH
V10182,AutoMax,2016,14916.0,SOUTH
V10183,TurboPro,2022,61241.0,SOUTH
V10184,AutoMax,2023,79810.0,SOUTH
V10185,AutoMax,2018,,East
V10186,TurboPro,2021,106564.0,West
V10187,EcoDrive,2022,114470.0,North
V10188,EcoDrive,2019,103352.0,West
V10189,SpeedX,2022,56120.0,SOUTH
V10190,UrbanGo,2023,15651.0,SOUTH
V10191,EcoDrive,2019,103547.0,East
V10192,AutoMax,2019,107459.0,North
V10193,AutoMax,2021,55764.0,SOUTH
V10194,EcoDrive,2017,9691.0,North
V10195,AutoMax,2018,71781.0,south zone
V10196,UrbanGo,2016,74032.0,South
V10197,UrbanGo,2022,58534.0,South
V10198,SpeedX,2019,28251.0,SOUTH
V10199,AutoMax,2016,22491.0,East
V10200,UrbanGo,2017,76876.0,south zone
V10201,UrbanGo,2017,71716.0,SOUTH
V10202,AutoMax,2023,7586.0,South
V10203,EcoDrivX,2020,79069.0,SOUTH
V10204,SpeedX,2016,16456.0,South
V10205,TurboPro,2023,93296.0,South
V10206,EcoDrive,2016,81674.0,SOUTH
V10207,AutoMax,2019,81052.0,East
V10208,UrbanGo,2015,21984.0,SOUTH
V10209,TurboPro,2022,102446.0,West
V10210,UrbanGo,2016,10257.0,south zone
V10211,TurboPro,2019,71099.0,South
V10212,EcoDrive,2020,90759.0,South
V10213,SpeedX,2015,67202.0,East
V10214,UrbanGo,2022,27372.0,SOUTH
V10215,SpeedX,2020,110333.0,SOUTH
V10216,AutoMax,2022,74580.0,West
V10217,UrbanGo,2015,112620.0,South
V10218,EcoDrive,2016,63972.0,South
V10219,SpeedX,2023,113920.0,North
V10220,SpeedX,2019,90211.0,East
V10221,EcoDrive,2023,33468.0,West
V10222,TurboPro,2020,19019.0,south zone
V10223,SpeedX,2020,12027.0,SOUTH
V10224,TurboPro,2022,34776.0,South
V10225,SpeedX,2016,7491.0,West
V10226,AutoMax,2017,83451.0,SOUTH
V10227,EcoDrive,2017,29430.0,North
V10228,TurboPro,2022,88126.0,East
V10229,SpeedX,2023,,south zone
V10230,AutoMax,2018,31211.0,South
V10231,AutoMax,2020,12638.0,SOUTH
V10232,EcoDrive,2023,73667.0,SOUTH
V10233,UrbanGo,2018,73797.0,North
V10234,TurboPro,2021,18492.0,SOUTH
V10235,EcoDrive,2018,55145.0,South
V10236,AutoMax,2018,98380.0,SOUTH
V10237,TurboPro,2018,40606.0,East
V10238,UrbanGo,2015,23776.0,SOUTH
V10239,UrbanGo,2016,26877.0,East
V10240,TurboPro,2018,77540.0,South
V10241,UrbanGo,2021,,West
V10242,AutoMax,2017,60416.0,South
V10243,SpeedX,2020,39843.0,South
V10244,TurboPro,2022,52644.0,south zone
V10245,SpeedX,2023,67270.0,south zone
V10246,AutoMax,2018,36864.0,West
V10247,EcoDrive,2015,48189.0,East
V10248,EcoDrive,2016,34729.0,South
V10249,AutoMax,2018,42356.0,North
V10250,UrbanGo,2015,88672.0,North
V10251,AutoMax,2020,30308.0,North
V10252,AutoMax,2015,114734.0,south zone
V10253,EcoDrive,2018,67038.0,SOUTH
V10254,AutoMax,2021,,south zone
V10255,AutoMax,2020,119693.0,south zone
V10256,UrbanGo,2018,63377.0,West
V10257,TurboPro,2022,90375.0,East
V10258,AutoMax,2023,91575.0,South
V10259,SpeedX,2015,41909.0,East
V10260,UrbanGo,2023,79117.0,North
V10261,EcoDrive,2021,67320.0,South
V10262,EcoDrive,2023,116093.0,North
V10263,AutoMax,2023,72401.0,south zone
V10264,TurboPro,2019,32973.0,North
V10265,SpeedX,2023,91648.0,South
V10266,UrbanGo,2021,106266.0,SOUTH
V10267,EcoDrive,2015,52266.0,North
V10268,TurboPro,2022,49564.0,East
V10269,UrbanGo,2023,71759.0,SOUTH
V10270,EcoDrive,2017,13292.0,south zone
V10271,TurboPro,2023,107889.0,SOUTH
V10272,EcoDrive,2019,31006.0,East
V10273,AutoMax,2017,88251.0,South
V10274,UrbanGo,2022,,South
V10275,EcoDrive,2018,47480.0,West
V10276,SpeedX,2019,103041.0,West
V10277,AutoMax,2021,103576.0,West
V10278,SpeedX,2018,63287.0,East
V10279,EcoDrive,2019,23076.0,North
V10280,TurboPro,2019,16005.0,south zone
V10281,AutoMax,2018,106065.0,West
V10282,EcoDrive,2021,21623.0,West
V10283,EcoDrive,2021,9317.0,South
V10284,TurboPro,2018,46960.0,East
V10285,SpeedX,2019,51631.0,SOUTH
V10286,TurboPro,2021,90171.0,south zone
V10287,AutoMax,2022,108526.0,North
V10288,SpeedX,2017,6606.0,East
V10289,AutoMax,2016,46235.0,North
V10290,AutoMaX,2018,108069.0,West
V10291,TurboPro,2017,116243.0,East
V10292,AutoMax,2016,69041.0,North
V10293,TurboPro,2022,40423.0,West
V10294,UrbanGo,2019,45581.0,West
V10295,UrbanGo,2023,68854.0,West
V10296,SpeedX,2023,98359.0,West
V10297,EcoDrive,2020,54626.0,West
V10298,EcoDrive,2021,111728.0,SOUTH
V10299,UrbanGo,2018,30922.0,SOUTH
V10300,EcoDrive,2018,96393.0,East
V10301,UrbanGo,2018,21327.0,SOUTH
V10302,EcoDrive,2017,9301.0,South
V10303,SpeedX,2019,9922.0,West
V10304,SpeedX,2017,39960.0,SOUTH
V10305,EcoDrive,2023,,SOUTH
V10306,EcoDrive,2017,96764.0,West
V10307,TurboPro,2015,39215.0,South
V10308,AutoMax,2023,30779.0,North
V10309,TurboPro,2015,106820.0,south zone
V10310,TurboPro,2022,71766.0,East
V10311,EcoDrive,2018,36367.0,North
V10312,TurboPro,2015,19818.0,North
V10313,UrbanGo,2022,73519.0,South
V10314,EcoDrive,2023,12121.0,West
V10315,UrbanGo,2018,,SOUTH
V10316,AutoMax,2019,86379.0,North
V10317,AutoMax,2021,15035.0,South
V10318,TurboPro,2016,38101.0,south zone
V10319,TurboPro,2017,77994.0,East
V10320,TurboPro,2022,,South
V10321,UrbanGo,2021,,West
V10322,AutoMax,2019,74431.0,East
V10323,EcoDrive,2018,51405.0,North
V10324,SpeedX,2016,45110.0,West
V10325,SpeedX,2022,41377.0,North
V10326,AutoMax,2016,64883.0,West
V10327,AutoMax,2019,71000.0,North
V10328,AutoMax,2018,70732.0,SOUTH
V10329,EcoDrive,2018,75046.0,East
V10330,SpeedX,2021,24615.0,West
V10331,SpeedX,2019,114350.0,south zone
V10332,SpeedX,2022,58216.0,South
V10333,SpeedX,2017,14917.0,South
V10334,SpeedX,2021,75630.0,SOUTH
V10335,UrbanGo,2016,111434.0,East
V10336,UrbanGo,2015,10397.0,SOUTH
V10337,TurboPro,2022,28681.0,East
V10338,SpeedX,2016,102498.0,West
V10339,UrbanGo,2016,55837.0,south zone
V10340,SpeedX,2017,,East
V10341,SpeedX,2015,79995.0,South
V10342,UrbanGo,2019,72996.0,East
V10343,SpeedX,2017,29476.0,South
V10344,EcoDrive,2018,85950.0,North
V10345,EcoDrive,2019,19756.0,SOUTH
V10346,AutoMax,2021,100652.0,SOUTH
V10347,EcoDrive,2020,65919.0,SOUTH
V10348,AutoMax,2015,40353.0,SOUTH
V10349,EcoDrive,2022,52336.0,East
V10350,UrbanGo,2021,92169.0,West
V10351,SpeedX,2018,99363.0,West
V10352,AutoMax,2018,,South
V10353,EcoDrive,2021,50480.0,West
V10354,EcoDrive,2016,21836.0,East
V10355,SpeedX,2023,10929.0,East
V10356,EcoDrive,2015,27863.0,North
V10357,SpeedX,2015,20532.0,North
V10358,AutoMax,2023,113917.0,West
V10359,AutoMax,2020,67989.0,SOUTH
V10360,TurboPro,2015,56277.0,south zone
V10361,SpeedX,2019,57014.0,south zone
V10362,AutoMax,2020,62445.0,South
V10363,UrbanGo,2021,39660.0,North
V10364,AutoMax,2021,45564.0,south zone
V10365,EcoDrive,2019,46714.0,South
V10366,UrbanGo,2020,17845.0,SOUTH
V10367,SpeedX,2023,94838.0,South
V10368,UrbanGo,2018,38976.0,south zone
V10369,TurboPro,2016,19907.0,South
V10370,AutoMax,2017,19528.0,South
V10371,SpeedX,2016,7004.0,south zone
V10372,UrbanGo,2020,102100.0,North
V10373,UrbanGo,2023,,SOUTH
V10374,AutoMax,2023,78560.0,North
V10375,AutoMax,2021,36095.0,West
V10376,SpeedX,2021,22040.0,SOUTH
V10377,SpeedX,2018,110419.0,East
V10378,EcoDrive,2018,12617.0,SOUTH
V10379,EcoDrive,2019,35246.0,south zone
V10380,AutoMax,2016,16907.0,South
V10381,EcoDrive,2019,70677.0,East
V10382,SpeedX,2015,61154.0,South
V10383,SpeedX,2019,,West
V10384,EcoDrive,2015,,south zone
V10385,UrbanG,2023,5582.0,SOUTH
V10386,TurboPro,2020,40496.0,South
V10387,EcoDrive,2016,102786.0,North
V10388,EcoDrive,2018,9213.0,West
V10389,SpeedX,2019,24933.0,West
V10390,SpeedX,2020,55432.0,West
V10391,AutoMax,2021,,south zone
V10392,AutoMax,2022,6706.0,SOUTH
V10393,EcoDrive,2018,73392.0,West
V10394,TurboPro,2017,69678.0,East
V10395,SpeedX,2016,119340.0,East
V10396,TurboPro,2021,26852.0,East
V10397,EcoDrive,2015,106516.0,West
V10398,EcoDrive,2017,6671.0,West
V10399,AutoMax,2020,103500.0,SOUTH
V10400,UrbanGo,2020,19162.0,East
V10401,EcoDrive,2022,51004.0,south zone
V10402,TurboPro,2022,11397.0,North
V10403,UrbanGo,2016,112492.0,North
V10404,UrbanGo,2017,101218.0,SOUTH
V10405,UrbanGo,2016,35222.0,south zone
V10406,EcoDrive,2022,11549.0,West
V10407,TurboPro,2016,,South
V10408,SpeedX,2023,8443.0,East
V10409,UrbanGo,2022,39136.0,East
V10410,TurboPro,2015,98889.0,North
V10411,AutoMax,2022,107017.0,North
V10412,AutoMax,2021,95088.0,South
V10413,EcoDrive,2018,10293.0,South
V10414,UrbanGo,2021,53946.0,South
V10415,TurboPrX,2016,107864.0,south zone
V10416,AutoMax,2015,90015.0,West
V10417,EcoDrive,2021,91141.0,West
V10418,TurboPro,2022,101331.0,South
V10419,UrbanGo,2017,108904.0,SOUTH
V10420,EcoDrive,2016,21554.0,south zone
V10421,UrbanGo,2019,65622.0,south zone
V10422,UrbanGo,2021,,South
V10423,AutoMax,2018,37879.0,West
V10424,EcoDrive,2019,78684.0,SOUTH
V10425,TurboPro,2023,21928.0,North
V10426,UrbanGo,2023,6107.0,East
V10427,AutoMax,2022,48343.0,south zone
V10428,SpeedX,2022,33164.0,South
V10429,AutoMax,2023,40523.0,North
V10430,TurboPro,2018,20819.0,SOUTH
V10431,TurboPro,2019,101230.0,South
V10432,AutoMax,2021,93950.0,North
V10433,SpeedX,2022,24139.0,SOUTH
V10434,EcoDrive,2015,83848.0,West
V10435,UrbanGo,2015,62781.0,East
V10436,AutoMax,2023,59033.0,North
V10437,UrbanGo,2018,100444.0,West
V10438,EcoDrive,2015,75189.0,North
V10439,TurboPro,2019,58208.0,West
V10440,UrbanGo,2021,39875.0,SOUTH
V10441,TurboPro,2020,101821.0,South
V10442,AutoMax,2020,49135.0,East
V10443,TurboPro,2023,64901.0,south zone
V10444,UrbanGo,2023,34199.0,SOUTH
V10445,EcoDriv,2017,80762.0,South
V10446,UrbanGo,2022,36534.0,SOUTH
V10447,TurboPro,2015,88430.0,West
V10448,UrbanGo,2023,84580.0,SOUTH
V10449,UrbanGo,2019,66066.0,South
V10450,UrbanGo,2017,112736.0,East
V10451,EcoDrive,2017,91593.0,SOUTH
V10452,EcoDrive,2016,39082.0,East
V10453,TurboPrX,2017,35917.0,North
V10454,UrbanGo,2021,18181.0,SOUTH
V10455,EcoDrive,2018,,East
V10456,SpeedX,2023,58356.0,SOUTH
V10457,AutoMax,2019,,West
V10458,TurboPro,2016,32334.0,south zone
V10459,UrbanGo,2022,25131.0,South
V10460,AutoMax,2021,78754.0,West
V10461,TurboPr,2023,75613.0,West
V10462,TurboPro,2021,29981.0,South
V10463,AutoMax,2023,60489.0,South
V10464,TurboPro,2017,72878.0,North
V10465,UrbanGo,2021,59392.0,West
V10466,AutoMax,2020,15365.0,West
V10467,TurboPro,2017,17245.0,South
V10468,EcoDrive,2020,67612.0,south zone
V10469,UrbanGo,2017,113026.0,south zone
V10470,AutoMax,2023,46698.0,West
V10471,AutoMax,2022,58083.0,south zone
V10472,UrbanGo,2019,,West
V10473,TurboPro,2015,19156.0,North
V10474,UrbanGo,2023,102174.0,North
V10475,EcoDrive,2015,19236.0,south zone
V10476,EcoDrive,2018,72824.0,East
V10477,AutoMax,2020,109803.0,south zone
V10478,AutoMax,2022,8484.0,West
V10479,TurboPro,2018,39365.0,south zone
V10480,UrbanGo,2017,20750.0,North
V10481,UrbanGo,2017,78594.0,south zone
V10482,UrbanGo,2023,15346.0,South
V10483,SpeedX,2023,,West
V10484,TurboPro,2021,94800.0,South
V10485,TurboPro,2021,10075.0,south zone
V10486,SpeedX,2022,92715.0,South
V10487,UrbanGo,2020,42841.0,South
V10488,TurboPro,2016,29773.0,North
V10489,SpeedX,2020,90391.0,North
V10490,SpeedX,2021,44204.0,West
V10491,UrbanGo,2017,,SOUTH
V10492,TurboPro,2017,96794.0,South
V10493,AutoMax,2018,37264.0,SOUTH
V10494,AutoMax,2017,112099.0,South
V10495,AutoMax,2015,111031.0,West
V10496,AutoMax,2016,6209.0,West
V10497,AutoMax,2015,41278.0,East
V10498,AutoMax,2021,108336.0,South
V10499,UrbanGo,2023,33782.0,North
V10500,AutoMax,2022,24834.0,West
V10501,EcoDrive,2019,7455.0,SOUTH
V10502,AutoMax,2015,10678.0,south zone
V10503,UrbanGo,2018,61438.0,SOUTH
V10504,AutoMax,2016,7060.0,East
V10505,AutoMax,2019,65624.0,West
V10506,EcoDrive,2018,84153.0,North
V10507,AutoMax,2022,34334.0,North
V10508,TurboPro,2017,98050.0,south zone
V10509,UrbanGo,2016,112211.0,East
V10510,SpeedX,2015,84026.0,SOUTH
V10511,AutoMax,2022,100264.0,south zone
V10512,EcoDrive,2015,15545.0,East
V10513,EcoDrive,2017,28600.0,West
V10514,UrbanGo,2015,90544.0,West
V10515,TurboPro,2019,,North
V10516,TurboPro,2020,17129.0,East
V10517,EcoDrive,2021,83164.0,East
V10518,AutoMax,2022,55592.0,North
V10519,TurboPro,2017,74034.0,West
V10520,UrbanGo,2023,83744.0,south zone
V10521,EcoDrive,2019,46983.0,North
V10522,UrbanGo,2017,52575.0,West
V10523,SpeedX,2020,92139.0,South
V10524,AutoMax,2021,68475.0,SOUTH
V10525,EcoDrive,2015,39573.0,West
V10526,EcoDrive,2021,53556.0,East
V10527,AutoMax,2021,39284.0,south zone
V10528,EcoDrive,2023,46916.0,South
V10529,EcoDrive,2017,56262.0,south zone
V10530,SpeedX,2018,80155.0,SOUTH
V10531,TurboPro,2017,86259.0,south zone
V10532,AutoMax,2018,30565.0,West
V10533,UrbanGo,2019,27861.0,East
V10534,AutoMax,2016,109810.0,North
V10535,UrbanGo,2017,84209.0,East
V10536,AutoMaX,2019,50017.0,East
V10537,SpeedX,2021,21009.0,South
V10538,TurboPro,2020,30912.0,south zone
V10539,UrbanGo,2015,59233.0,South
V10540,UrbanGo,2020,25356.0,south zone
V10541,AutoMax,2022,69424.0,East
V10542,SpeedX,2022,113508.0,south zone
V10543,EcoDrive,2016,37074.0,South
V10544,TurboPro,2016,69509.0,West
V10545,UrbanGo,2021,,South
V10546,TurboPro,2021,15754.0,West
V10547,SpeedX,2021,94126.0,South
V10548,TurboPro,2015,30553.0,West
V10549,AutoMax,2018,114777.0,SOUTH
V10550,TurboPro,2022,42678.0,East
V10551,SpeedX,2015,101793.0,East
V10552,AutoMax,2015,33186.0,SOUTH
V10553,SpeedX,2019,14350.0,West
V10554,TurboPro,2020,85529.0,SOUTH
V10555,SpeedX,2021,34747.0,North
V10556,UrbanGo,2022,87259.0,South
V10557,AutoMax,2022,29095.0,East
V10558,TurboPro,2015,39900.0,West
V10559,AutoMax,2019,48575.0,South
V10560,AutoMax,2015,54368.0,North
V10561,SpeedX,2018,109952.0,south zone
V10562,UrbanGo,2015,76926.0,East
V10563,UrbanGo,2018,60340.0,SOUTH
V10564,EcoDrive,2019,110070.0,South
V10565,SpeedX,2019,40986.0,East
V10566,SpeedX,2017,28344.0,south zone
V10567,SpeedX,2017,111377.0,South
V10568,TurboPro,2016,76563.0,SOUTH
V10569,TurboPro,2022,22754.0,SOUTH
V10570,EcoDrive,2022,39133.0,SOUTH
V10571,UrbanGo,2023,101756.0,West
V10572,SpeedX,2017,18800.0,North
V10573,EcoDrive,2021,72337.0,South
V10574,UrbanGo,2019,40991.0,East
V10575,UrbanGo,2022,64475.0,south zone
V10576,UrbanGo,2020,82555.0,West
V10577,UrbanGo,2022,95631.0,South
V10578,AutoMax,2021,7001.0,south zone
V10579,SpeedX,2016,87803.0,SOUTH
V10580,EcoDrive,2019,94376.0,North
V10581,SpeedX,2020,21272.0,North
V10582,SpeedX,2020,76224.0,South
V10583,AutoMax,2020,16757.0,East
V10584,UrbanGo,2021,11403.0,North
V10585,AutoMax,2019,87797.0,North
V10586,SpeedX,2016,103052.0,North
V10587,AutoMax,2015,15820.0,SOUTH
V10588,AutoMax,2016,110010.0,SOUTH
V10589,EcoDrive,2022,96242.0,East
V10590,TurboPro,2015,75858.0,south zone
V10591,UrbanGo,2016,69076.0,West
V10592,TurboPro,2016,114480.0,East
V10593,TurboPro,2020,23094.0,South
V10594,SpeedX,2016,47261.0,North
V10595,UrbanGo,2018,9556.0,SOUTH
V10596,UrbanGX,2021,17325.0,South
V10597,UrbanGo,2021,71273.0,East
V10598,AutoMax,2017,39067.0,East
V10599,TurboPro,2021,52612.0,West
V10600,SpeedX,2021,36184.0,South
V10601,TurboPro,2021,67832.0,SOUTH
V10602,TurboPro,2016,105814.0,SOUTH
V10603,EcoDrive,2015,102413.0,West
V10604,UrbanGo,2017,73945.0,West
V10605,TurboPro,2016,64866.0,South
V10606,EcoDrive,2017,112372.0,East
V10607,UrbanGo,2023,63798.0,SOUTH
V10608,EcoDrive,2022,109710.0,North
V10609,TurboPro,2020,112288.0,East
V10610,EcoDrive,2019,112382.0,West
V10611,UrbanGo,2016,77619.0,North
V10612,AutoMax,2015,17216.0,SOUTH
V10613,EcoDrivX,2016,45439.0,south zone
V10614,SpeedX,2017,96044.0,East
V10615,UrbanGo,2016,23375.0,South
V10616,UrbanGo,2019,40784.0,SOUTH
V10617,EcoDrive,2023,102517.0,South
V10618,AutoMaX,2018,95079.0,East
V10619,EcoDrive,2021,9289.0,East
V10620,TurboPro,2020,49465.0,South
V10621,SpeedX,2018,,West
V10622,SpeedX,2015,45336.0,South
V10623,SpeedX,2015,112757.0,East
V10624,EcoDrive,2023,40075.0,East
V10625,SpeedX,2020,87769.0,South
V10626,EcoDrive,2015,,North
V10627,AutoMax,2021,82194.0,South
V10628,UrbanGo,2022,30978.0,south zone
V10629,UrbanGo,2020,54637.0,South
V10630,UrbanGo,2018,41107.0,East
V10631,SpeedX,2022,65549.0,South
V10632,AutoMax,2016,,South
V10633,EcoDrive,2023,105575.0,south zone
V10634,SpeedX,2016,91089.0,East
V10635,AutoMax,2022,5550.0,North
V10636,AutoMax,2016,47943.0,East
V10637,SpeedX,2018,18783.0,East
V10638,UrbanGo,2017,68123.0,south zone
V10639,AutoMaX,2019,80009.0,East
V10640,EcoDrive,2021,87003.0,North
V10641,SpeedX,2015,84875.0,North
V10642,SpeedX,2019,,North
V10643,TurboPro,2020,119441.0,West
V10644,AutoMax,2021,61673.0,North
V10645,TurboPro,2021,55041.0,North
V10646,EcoDrive,2018,106665.0,south zone
V10647,AutoMax,2016,74032.0,North
V10648,TurboPro,2017,6249.0,West
V10649,UrbanGo,2015,54985.0,South
V10650,AutoMax,2018,35935.0,south zone
V10651,EcoDrive,2015,43405.0,south zone
V10652,SpeedX,2019,74964.0,SOUTH
V10653,TurboPro,2019,97330.0,South
V10654,AutoMax,2019,60514.0,West
V10655,SpeedX,2018,89836.0,south zone
V10656,EcoDrive,2021,111333.0,South
V10657,TurboPro,2022,,south zone
V10658,AutoMax,2015,82353.0,North
