service_id,vehicle_id,service_date,component_replaced,cost,issue_type
S20047,V10279,2022-03-20,Brake Pad,7243,Overheating
S20048,V11837,2023-06-05,Suspension,1265,Wear & Tear
S20049,V17847,2022-05-30,Engine,13990,Overheating
S20050,V15863,2023-07-19,Battery,3270,Malfunction
S20051,V16535,2022-04-23,Battery,14633,Overheating
S20052,V17263,2022-07-31,Engine,8396,Discharge
S20053,V13977,2024-04-06,AC,9891,Wear & Tear
S20054,V13175,2024-01-06,Transmission,3152,Wear & Tear
S20055,V15483,2023-08-21,Engine,10635,Discharge
S20056,V18790,2022-12-06,Brake Pad,8451,Leakage
S20057,V11853,2022-03-13,Brake Pad,7206,Leakage
S20058,V13167,2023-04-15,Brake Pad,8178,Leakage
S20059,V12356,2024-07-19,Transmission,6188,Malfunction
S20060,V14090,2023-06-21,,13246,Wear & Tear
S20061,V12880,2023-12-09,,4379,Leakage
S20062,V10379,2023-10-09,Engine,13191,Wear & Tear
S20063,V16801,2022-08-28,Battery,1130,Wear & Tear
S20064,V18887,2024-07-28,Battery,1766,Overheating
S20065,V18037,2023-03-30,Battery,4262,Leakage
S20066,V14091,2023-03-27,Suspension,4650,Overheating
S20067,V14423,2023-09-27,Battery,6991,Leakage
S20068,V18849,2023-07-29,Suspension,9459,Malfunction
S20069,V13589,2022-10-18,Transmission,13522,Wear & Tear
S20070,V17043,2024-08-22,Battery,6982,Leakage
S20071,V18368,2023-03-07,Engine,4822,Leakage
S20072,V10308,2023-08-29,AC,14915,Leakage
S20073,V19346,2022-03-16,,6271,Malfunction
S20074,V13674,2023-01-10,Engine,8886,Malfunction
S20075,V12926,2023-09-30,Engine,1618,Leakage
S20076,V13198,2023-01-21,Brake Pad,6516,Overheating
S20077,V10686,2024-05-26,Battery,5803,Discharge
S20078,V17975,2024-03-10,Brake Pad,13385,Discharge
S20079,V17947,2022-10-29,AC,12028,Malfunction
S20080,V10988,2022-03-24,Suspension,11446,Discharge
S20081,V10805,2024-01-27,Battery,1645,Wear & Tear
S20082,V17756,2022-11-25,Brake Pad,6549,Leakage
S20083,V17608,2023-10-16,Suspension,11184,Discharge
S20084,V16269,2023-10-12,Battery,2184,Leakage
S20085,V18538,2023-01-27,,4485,Malfunction
S20086,V10109,2024-01-15,Transmission,4062,Leakage
S20087,V19040,2022-03-26,AC,10584,Malfunction
S20088,V13424,2023-11-26,Engine,14752,Wear & Tear
S20089,V17954,2024-08-06,Brake Pad,3610,Leakage
S20090,V14160,2022-05-09,Suspension,1187,Leakage
S20091,V18770,2023-10-07,Brake Pad,5179,Overheating
S20092,V13155,2024-01-04,Brake Pad,11404,Leakage
S20093,V13548,2023-01-09,Battery,12600,Discharge
S20094,V17517,2023-10-28,Engine,11515,Leakage
S20095,V11293,2024-08-22,Transmission,9815,Discharge
S20096,V17284,2024-07-22,Engine,8837,Leakage
S20097,V10644,2023-11-25,Engine,3256,Wear & Tear
S20098,V19185,2023-05-05,AC,1137,Malfunction
S20099,V12869,2022-06-01,Engine,5461,Wear & Tear
S20100,V10917,2023-05-15,Battery,12951,Wear & Tear
S20101,V14677,2022-05-10,Battery,12621,Leakage
S20102,V15655,2024-01-29,AC,1062,Malfunction
S20103,V19157,2023-02-03,Brake Pad,13125,Malfunction
S20104,V16892,2022-08-25,AC,9458,Malfunction
S20105,V19299,2024-02-03,Battery,8306,Leakage
S20106,V13062,2024-09-06,Suspension,6286,Wear & Tear
S20107,V14069,2023-09-25,Suspension,7244,Malfunction
S20108,V17180,2022-03-26,Engine,4297,Leakage
S20109,V10938,2022-05-26,Transmission,8787,Overheating
S20110,V13388,2022-06-17,Brake Pad,13537,Discharge
S20111,V10541,2022-11-16,Brake Pad,8178,Discharge
S20112,V17127,2023-03-13,Brake Pad,1395,Wear & Tear
S20113,V19884,2024-02-05,Transmission,5618,Malfunction
S20114,V17679,2023-05-07,Engine,3469,Malfunction
S20115,V19153,2024-03-20,Transmission,14206,Leakage
S20116,V16702,2024-07-06,Transmission,10908,Wear & Tear
S20117,V10722,2023-01-29,Brake Pad,11409,Leakage
S20118,V19070,2024-04-11,AC,1841,Wear & Tear
S20119,V17723,2023-06-12,Engine,9543,Discharge
S20120,V13521,2023-01-03,AC,11341,Leakage
S20121,V12486,2022-04-20,AC,10071,Wear & Tear
S20122,V10876,2023-03-05,AC,9990,Leakage
S20123,V16227,2023-04-12,Suspension,7704,Overheating
S20124,V14668,2023-11-13,Suspension,5573,Wear & Tear
S20125,V13173,2022-05-11,Transmission,6121,Leakage
S20126,V10799,2022-06-27,Transmission,9451,Malfunction
S20127,V16814,2024-07-29,Engine,7304,Leakage
S20128,V11367,2024-01-19,Transmission,8177,Wear & Tear
S20129,V16118,2022-10-22,Engine,12856,Discharge
S20130,V11069,2022-05-06,Engine,1472,Wear & Tear
S20131,V18958,2022-03-05,Transmission,1782,Discharge
S20132,V12911,2022-07-15,Transmission,10505,Leakage
S20133,V14314,2023-05-20,Engine,3319,Leakage
S20134,V15642,2023-06-02,Brake Pad,8437,Malfunction
S20135,V13976,2022-07-27,,6324,Malfunction
S20136,V15336,2023-07-28,Transmission,11920,Leakage
S20137,V17830,2022-06-15,Battery,12072,Wear & Tear
S20138,V13595,2024-03-25,Engine,14459,Leakage
S20139,V15419,2023-12-02,AC,2658,Discharge
S20140,V12368,2024-04-11,Engine,3413,Discharge
S20141,V19723,2022-10-12,Suspension,2297,Malfunction
S20142,V17493,2024-06-19,Suspension,7892,Overheating
S20143,V15682,2022-02-13,AC,3461,Wear & Tear
S20144,V19255,2022-01-24,Suspension,8072,Discharge
S20145,V12305,2024-05-05,Engine,12737,Discharge
S20146,V11025,2024-06-21,Brake Pad,13594,Wear & Tear
S20147,V14174,2022-02-05,Battery,6800,Overheating
S20148,V17927,2024-06-20,Suspension,8278,Leakage
S20149,V11555,2023-10-23,AC,13430,Malfunction
S20150,V10010,2022-07-10,AC,4618,Malfunction
S20151,V12704,2022-07-22,Brake Pad,9139,Wear & Tear
S20152,V15690,2023-03-15,Engine,11328,Wear & Tear
S20153,V18654,2024-07-19,Brake Pad,9001,Wear & Tear
S20154,V19113,2024-08-11,AC,9166,Overheating
S20155,V12884,2024-01-01,Brake Pad,12615,Malfunction
S20156,V12548,2024-06-03,Battery,4766,Leakage
S20157,V18971,2022-08-19,Engine,4225,Discharge
S20158,V16118,2023-11-06,Engine,12254,Leakage
S20159,V19575,2023-10-02,Engine,1566,Malfunction
S20160,V17861,2022-03-16,Engine,1699,Discharge
S20161,V16158,2023-12-17,Suspension,13668,Overheating
S20162,V12092,2023-04-01,Engine,10891,Malfunction
S20163,V12360,2023-12-29,Transmission,14892,Malfunction
S20164,V13467,2022-02-13,Engine,4556,Malfunction
S20165,V13845,2024-03-05,Transmission,14175,Overheating
S20166,V12899,2024-01-11,Brake Pad,14249,Overheating
S20167,V16870,2023-02-23,Engine,6483,Leakage
S20168,V10092,2023-08-07,Suspension,2615,Leakage
S20169,V15414,2023-02-07,Engine,11523,Malfunction
S20170,V13011,2024-02-08,Suspension,6396,Malfunction
S20171,V17245,2023-05-07,Transmission,3801,Discharge
S20172,V15246,2022-03-23,Battery,11310,Malfunction
S20173,V16562,2022-09-25,Battery,7478,Wear & Tear
S20174,V16487,2022-08-18,Engine,13748,Malfunction
S20175,V16482,2023-04-28,AC,5055,Discharge
S20176,V19273,2023-12-14,Engine,13176,Overheating
S20177,V11974,2023-11-05,Transmission,4989,Overheating
S20178,V15074,2022-03-19,Brake Pad,6884,Leakage
S20179,V10397,2024-04-01,AC,9836,Overheating
S20180,V19785,2023-11-13,Brake Pad,5129,Leakage
S20181,V17628,2023-03-05,,1012,Wear & Tear
S20182,V19102,2023-01-22,AC,9713,Overheating
S20183,V16835,2022-02-26,Battery,6937,Discharge
S20184,V13589,2023-05-10,Transmission,2165,Discharge
S20185,V17887,2023-05-07,Brake Pad,11054,Overheating
S20186,V18384,2023-10-27,AC,9401,Malfunction
S20187,V19949,2022-03-29,Suspension,8827,Overheating
S20188,V13882,2024-03-22,Brake Pad,14375,Discharge
S20189,V16969,2023-02-17,Suspension,8246,Leakage
S20190,V12421,2022-09-27,Engine,3930,Overheating
S20191,V14117,2022-12-03,Transmission,8501,Wear & Tear
S20192,V14874,2023-09-11,AC,14838,Discharge
S20193,V17573,2024-06-04,AC,12186,Leakage
S20194,V19935,2023-06-08,Suspension,11717,Overheating
S20195,V12729,2023-07-16,AC,11977,Wear & Tear
S20196,V10738,2022-07-20,Battery,6240,Overheating
S20197,V11718,2023-10-14,Suspension,14955,Malfunction
S20198,V11069,2022-01-14,Transmission,13805,Leakage
S20199,V17233,2022-06-17,Brake Pad,2510,Malfunction
S20200,V10454,2022-11-07,Engine,6208,Overheating
S20201,V16966,2022-10-10,Engine,13893,Malfunction
S20202,V13564,2022-08-24,Suspension,7890,Leakage
S20203,V12691,2023-05-23,Suspension,6285,Discharge
S20204,V17116,2023-10-16,Suspension,14216,Malfunction
S20205,V19437,2023-08-19,AC,4563,Leakage
S20206,V19348,2022-01-18,Engine,4613,Wear & Tear
S20207,V13174,2023-11-18,Battery,7222,Wear & Tear
S20208,V11507,2023-11-09,Engine,1314,Leakage
S20209,V15616,2024-07-24,Battery,13455,Discharge
S20210,V17775,2022-03-22,Battery,8984,Wear & Tear
S20211,V18256,2023-01-13,Brake Pad,8655,Wear & Tear
S20212,V10519,2022-07-13,Brake Pad,4798,Overheating
S20213,V13783,2022-05-23,Battery,12240,Leakage
S20214,V18002,2024-09-20,AC,10577,Leakage
S20215,V10987,2022-03-22,AC,1973,Discharge
S20216,V11475,2022-12-01,Transmission,1651,Wear & Tear
S20217,V18269,2022-10-06,Brake Pad,5347,Malfunction
S20218,V14469,2023-02-24,Transmission,2993,Malfunction
S20219,V11539,2023-07-22,Suspension,2881,Wear & Tear
S20220,V18143,2024-07-11,Suspension,8805,Wear & Tear
S20221,V12193,2022-03-06,Engine,12882,Leakage
S20222,V16872,2023-10-27,Brake Pad,6976,Wear & Tear
S20223,V19839,2022-05-10,Transmission,9116,Leakage
S20224,V18932,2022-11-16,Brake Pad,3698,Discharge
S20225,V11160,2022-12-11,Transmission,-4325,Wear & Tear
S20226,V15633,2022-07-31,Suspension,2334,Malfunction
S20227,V12290,2023-09-05,Battery,4269,Wear & Tear
S20228,V17486,2022-08-27,AC,4953,Leakage
S20229,V18496,2023-11-03,Engine,11719,Wear & Tear
S20230,V16980,2024-08-02,Transmission,13327,Wear & Tear
S20231,V15938,2024-09-01,Transmission,11056,Discharge
S20232,V19958,2024-03-09,AC,10191,Discharge
S20233,V10693,2022-07-31,Brake Pad,12558,Discharge
S20234,V15047,2023-06-25,Suspension,12715,Malfunction
S20235,V18379,2023-03-10,Battery,6284,Malfunction
S20236,V10710,2023-08-09,Battery,9151,Discharge
S20237,V15039,2023-11-26,Suspension,12109,Overheating
S20238,V12076,2023-03-27,Suspension,7488,Malfunction
S20239,V14779,2023-04-10,AC,9207,Discharge
S20240,V18187,2023-02-26,Brake Pad,3159,Wear & Tear
S20241,V13032,2022-09-20,Suspension,13290,Overheating
S20242,V12742,2023-03-22,AC,9858,Malfunction
S20243,V19281,2024-05-06,Suspension,14010,Overheating
S20244,V16484,2022-01-12,Battery,11395,Leakage
S20245,V17544,2022-04-28,Battery,8522,Malfunction
S20246,V14605,2023-12-05,Transmission,10847,Leakage
S20247,V12255,2022-03-14,Engine,14090,Discharge
S20248,V18112,2024-06-07,Engine,7739,Malfunction
S20249,V17493,2022-03-08,Brake Pad,4625,Discharge
S20250,V15583,2022-06-23,Engine,10180,Wear & Tear
S20251,V11822,2022-08-25,Transmission,9696,Leakage
S20252,V19418,2023-06-25,Transmission,11794,Leakage
S20253,V14759,2023-09-20,Suspension,14887,Leakage
S20254,V10187,2024-02-15,Engine,2818,Leakage
S20255,V18491,2023-01-27,Transmission,8853,Discharge
S20256,V12801,2024-03-29,AC,5052,Discharge
S20257,V13108,2024-05-20,Battery,13934,Discharge
S20258,V18944,2023-05-16,Brake Pad,10811,Wear & Tear
S20259,V12186,2022-01-23,Transmission,7132,Malfunction
S20260,V19857,2023-11-23,Transmission,10332,Discharge
S20261,V16440,2023-01-07,Suspension,13472,Wear & Tear
S20262,V11494,2023-06-03,Brake Pad,7089,Overheating
S20263,V11816,2023-01-12,Battery,4188,Overheating
S20264,V18589,2023-11-10,Transmission,13243,Discharge
S20265,V18394,2023-10-11,,5923,Leakage
S20266,V15015,2023-08-18,Suspension,5251,Wear & Tear
S20267,V15746,2024-04-19,Battery,3963,Overheating
S20268,V18285,2024-05-13,AC,11977,Wear & Tear
S20269,V17831,2024-06-11,Engine,4347,Wear & Tear
S20270,V15897,2022-12-24,Engine,-4719,Wear & Tear
S20271,V11006,2024-01-28,Battery,14225,Overheating
S20272,V12096,2023-08-21,Engine,5073,Wear & Tear
S20273,V15296,2022-03-26,Suspension,7483,Overheating
S20274,V13749,2023-08-13,Transmission,12087,Malfunction
S20275,V14386,2022-10-05,Brake Pad,2036,Wear & Tear
S20276,V18977,2024-05-12,AC,-2220,Discharge
S20277,V13497,2023-11-28,AC,10338,Discharge
S20278,V15134,2024-04-11,Battery,11336,Leakage
S20279,V10322,2022-06-26,AC,2825,Discharge
S20280,V10674,2023-01-05,Transmission,11275,Leakage
S20281,V11831,2023-04-10,Suspension,1847,Wear & Tear
S20282,V14059,2024-01-01,AC,14023,Discharge
S20283,V19208,2022-09-01,Battery,3726,Wear & Tear
S20284,V13209,2022-05-23,AC,3032,Wear & Tear
S20285,V11859,2024-09-13,Brake Pad,10483,Wear & Tear
S20286,V12542,2022-05-20,Brake Pad,12056,Wear & Tear
S20287,V14940,2023-08-08,Battery,13494,Wear & Tear
S20288,V12683,2024-02-23,AC,5241,Malfunction
S20289,V10649,2024-05-29,Suspension,3265,Discharge
S20290,V10024,2023-03-03,Suspension,10157,Leakage
S20291,V11299,2022-11-19,Brake Pad,9898,Wear & Tear
S20292,V14795,2024-08-07,Brake Pad,11769,Overheating
S20293,V18924,2022-04-29,Engine,9402,Leakage
S20294,V13398,2024-08-04,Transmission,2807,Leakage
S20295,V12067,2023-11-23,Suspension,12727,Discharge
S20296,V19518,2022-04-24,Engine,4095,Overheating
S20297,V10792,2024-07-15,Engine,7024,Discharge
S20298,V14914,2022-03-09,Suspension,11596,Discharge
S20299,V18491,2022-08-26,Battery,3003,Discharge
S20300,V12746,2023-07-02,Battery,3989,Overheating
S20301,V19891,2022-12-05,Brake Pad,8973,Malfunction
S20302,V10448,2023-04-21,AC,1289,Discharge
S20303,V15410,2022-06-10,AC,13611,Overheating
S20304,V17994,2023-08-23,Brake Pad,13385,Malfunction
S20305,V12820,2024-03-22,Engine,1864,Malfunction
S20306,V15253,2024-09-21,Brake Pad,11273,Overheating
S20307,V14417,2023-10-10,Engine,1436,Malfunction
S20308,V18967,2023-12-30,Battery,9821,Malfunction
S20309,V19068,2023-07-12,Suspension,6598,Wear & Tear
S20310,V16985,2023-11-13,Engine,4969,Overheating
S20311,V18306,2022-09-13,Suspension,14448,Overheating
S20312,V11627,2024-05-28,Suspension,14542,Malfunction
S20313,V15766,2022-05-05,Engine,2403,Malfunction
S20314,V19204,2023-03-06,Battery,10889,Overheating
S20315,V10651,2023-08-18,Engine,9176,Malfunction
S20316,V13453,2023-04-09,Battery,3997,Wear & Tear
S20317,V16528,2023-10-15,Brake Pad,14252,Malfunction
S20318,V17882,2023-11-16,AC,1039,Discharge
S20319,V19759,2022-08-22,Suspension,4899,Overheating
S20320,V15288,2024-09-08,Brake Pad,13912,Leakage
S20321,V14200,2022-02-06,Transmission,1544,Malfunction
S20322,V11636,2023-09-03,Transmission,9631,Wear & Tear
S20323,V17342,2022-08-18,Suspension,10843,Wear & Tear
S20324,V19742,2024-05-07,AC,12652,Wear & Tear
S20325,V19788,2023-07-15,AC,3804,Discharge
S20326,V13644,2022-05-07,Suspension,13004,Leakage
S20327,V18620,2023-01-14,Brake Pad,1776,Leakage
S20328,V17655,2022-05-30,Engine,12305,Wear & Tear
S20329,V19472,2024-03-27,Brake Pad,2498,Wear & Tear
S20330,V12570,2022-07-17,Transmission,8233,Leakage
S20331,V12790,2023-06-08,AC,13300,Discharge
S20332,V17888,2022-08-10,Engine,13408,Leakage
S20333,V16971,2024-03-01,Brake Pad,6025,Overheating
S20334,V10808,2024-01-20,AC,11083,Wear & Tear
S20335,V16547,2023-05-06,Suspension,7732,Overheating
S20336,V10088,2022-01-15,Battery,13193,Overheating
S20337,V19776,2023-05-20,Battery,9629,Overheating
S20338,V11236,2022-01-31,AC,2745,Malfunction
S20339,V19835,2022-11-10,Brake Pad,11558,Malfunction
S20340,V19927,2022-08-09,Engine,3915,Discharge
S20341,V15839,2024-03-02,Battery,5352,Discharge
S20342,V19796,2022-01-06,Suspension,7519,Leakage
S20343,V17384,2023-12-21,AC,14363,Overheating
S20344,V12177,2023-10-04,Brake Pad,4266,Leakage
S20345,V17116,2024-05-18,AC,7818,Wear & Tear
S20346,V15892,2022-11-09,,8526,Discharge
S20347,V19013,2022-11-09,Brake Pad,8222,Wear & Tear
S20348,V18274,2023-07-31,Battery,1805,Discharge
S20349,V14164,2022-10-24,Suspension,9006,Overheating
S20350,V15107,2024-05-01,Transmission,1898,Malfunction
S20351,V14277,2022-10-10,AC,14099,Malfunction
S20352,V14701,2022-03-25,Battery,10260,Overheating
S20353,V18232,2023-10-16,Brake Pad,14083,Overheating
S20354,V10454,2022-08-30,AC,9646,Wear & Tear
S20355,V17169,2023-08-02,AC,4840,Malfunction
S20356,V10703,2022-04-11,Engine,2814,Malfunction
S20357,V18751,2023-09-14,Transmission,7072,Discharge
S20358,V19625,2022-12-29,Brake Pad,10283,Discharge
S20359,V11123,2022-10-28,Suspension,-3151,Malfunction
S20360,V15978,2022-05-02,Transmission,3467,Wear & Tear
S20361,V13531,2022-08-22,Transmission,14456,Wear & Tear
S20362,V16288,2023-06-14,Engine,4223,Malfunction
S20363,V12151,2022-12-27,Engine,6957,Leakage
S20364,V11565,2023-12-15,Suspension,8009,Malfunction
S20365,V18800,2024-07-03,Brake Pad,11073,Discharge
S20366,V19972,2023-03-12,AC,7334,Malfunction
S20367,V13104,2022-09-07,AC,12990,Overheating
S20368,V13482,2022-01-26,Brake Pad,13665,Leakage
S20369,V15615,2022-10-03,AC,8782,Malfunction
S20370,V13304,2023-08-13,,11996,Wear & Tear
S20371,V14972,2024-06-09,AC,8639,Overheating
S20372,V17024,2022-10-07,Battery,14675,Wear & Tear
S20373,V13569,2022-09-14,Brake Pad,4697,Wear & Tear
S20374,V13194,2022-10-08,AC,13589,Overheating
S20375,V19472,2023-04-27,Brake Pad,11298,Leakage
S20376,V16950,2022-10-20,Engine,2812,Leakage
S20377,V15378,2022-05-07,AC,3316,Discharge
S20378,V19678,2023-11-16,Battery,1350,Wear & Tear
S20379,V17683,2023-12-08,Brake Pad,5446,Wear & Tear
S20380,V12949,2023-03-13,Battery,9678,Leakage
S20381,V15743,2023-01-18,Engine,6162,Overheating
S20382,V10714,2023-12-16,AC,9170,Overheating
S20383,V18872,2022-02-11,Engine,6214,Discharge
S20384,V17615,2024-03-19,Transmission,6913,Leakage
S20385,V15987,2023-02-14,Suspension,8375,Wear & Tear
S20386,V18737,2022-04-13,Brake Pad,12709,Leakage
S20387,V15066,2022-11-02,Engine,11666,Wear & Tear
S20388,V17371,2023-11-08,Transmission,10866,Malfunction
S20389,V15067,2023-03-19,Transmission,8979,Discharge
S20390,V12069,2023-08-22,Engine,3100,Overheating
S20391,V14831,2022-03-16,AC,12494,Leakage
S20392,V13727,2022-10-30,AC,9100,Overheating
S20393,V14452,2024-03-09,Transmission,8719,Overheating
S20394,V19474,2022-07-07,Transmission,9362,Overheating
S20395,V14957,2024-03-25,Engine,9195,Overheating
S20396,V11804,2024-07-22,Brake Pad,1786,Overheating
S20397,V17496,2023-11-14,Brake Pad,2592,Discharge
S20398,V16979,2023-09-17,Battery,5237,Malfunction
S20399,V12703,2023-09-27,Brake Pad,12673,Malfunction
S20400,V19135,2022-09-21,Engine,8757,Overheating
S20401,V10582,2022-04-17,Brake Pad,9139,Malfunction
S20402,V19702,2023-09-26,AC,2198,Discharge
S20403,V11645,2024-01-26,Suspension,14950,Leakage
S20404,V16283,2023-12-17,Engine,1784,Malfunction
S20405,V13713,2022-03-12,Suspension,5720,Wear & Tear
S20406,V16007,2023-01-19,Engine,1224,Discharge
S20407,V15307,2024-04-10,AC,9778,Discharge
S20408,V19471,2023-03-15,Brake Pad,1921,Malfunction
S20409,V17131,2024-07-27,Brake Pad,6014,Overheating
S20410,V13841,2023-01-13,Battery,4032,Discharge
S20411,V10500,2022-05-09,AC,14943,Overheating
S20412,V14163,2023-09-30,Suspension,13347,Leakage
S20413,V10644,2024-08-10,Transmission,4640,Leakage
S20414,V16289,2024-04-27,Battery,4245,Leakage
S20415,V11626,2023-12-29,Suspension,11537,Malfunction
S20416,V10966,2024-08-27,Battery,8159,Overheating
S20417,V15039,2024-08-29,Engine,7649,Malfunction
S20418,V15643,2023-07-15,,12830,Malfunction
S20419,V11200,2022-08-24,Brake Pad,5492,Wear & Tear
S20420,V19981,2022-08-11,AC,3600,Leakage
S20421,V11799,2024-04-27,Transmission,5087,Malfunction
S20422,V12854,2022-09-12,Suspension,5411,Malfunction
S20423,V10565,2023-08-12,Battery,5676,Wear & Tear
S20424,V12809,2022-08-24,Battery,4446,Discharge
S20425,V18153,2022-09-04,Battery,7032,Leakage
S20426,V16089,2022-05-03,AC,4126,Wear & Tear
S20427,V19184,2024-03-10,AC,10901,Malfunction
S20428,V10009,2024-03-06,Transmission,6597,Wear & Tear
S20429,V14153,2022-10-06,Battery,10058,Discharge
S20430,V19571,2023-10-04,Transmission,2973,Overheating
S20431,V14223,2024-09-24,AC,13085,Malfunction
S20432,V11581,2023-07-01,Brake Pad,2775,Overheating
S20433,V13682,2022-05-13,Engine,14116,Discharge
S20434,V14645,2023-04-09,Transmission,-209,Overheating
S20435,V13696,2023-02-05,Battery,13552,Overheating
S20436,V11857,2023-04-25,Engine,13974,Overheating
S20437,V16183,2022-05-17,Suspension,6571,Overheating
S20438,V10883,2024-05-09,AC,10037,Discharge
S20439,V10889,2022-06-16,Battery,2749,Overheating
S20440,V11926,2024-04-13,Engine,2101,Discharge
S20441,V19123,2022-01-01,Battery,7189,Wear & Tear
S20442,V13741,2023-05-17,Engine,4260,Leakage
S20443,V13299,2022-01-05,Battery,5219,Discharge
S20444,V14675,2022-03-17,AC,8877,Discharge
S20445,V10389,2024-08-13,Brake Pad,5020,Leakage
S20446,V10535,2022-08-25,Brake Pad,9732,Malfunction
S20447,V14158,2022-11-19,Battery,5612,Discharge
S20448,V16158,2024-09-16,AC,7643,Malfunction
S20449,V13286,2022-01-29,AC,14673,Wear & Tear
S20450,V19874,2023-10-26,Battery,3714,Wear & Tear
S20451,V14026,2024-06-26,Suspension,13241,Discharge
S20452,V19641,2022-12-21,Battery,4692,Wear & Tear
S20453,V10964,2024-01-14,AC,1953,Discharge
S20454,V18579,2023-07-06,AC,5029,Wear & Tear
S20455,V18874,2022-02-19,Battery,1428,Overheating
S20456,V19002,2023-11-29,Battery,8862,Wear & Tear
S20457,V15681,2022-05-26,Suspension,9510,Overheating
S20458,V14302,2023-05-08,Engine,7328,Discharge
S20459,V19820,2024-02-27,Transmission,8663,Overheating
S20460,V15201,2023-07-28,Suspension,14205,Leakage
S20461,V13621,2024-08-09,Battery,7791,Overheating
S20462,V12402,2023-09-05,Suspension,13120,Discharge
S20463,V12462,2022-03-18,Battery,2947,Overheating
S20464,V13618,2024-06-05,Brake Pad,7037,Malfunction
S20465,V17653,2024-08-06,Suspension,11829,Leakage
S20466,V10240,2023-06-03,Battery,5114,Malfunction
S20467,V19360,2023-04-11,Battery,5581,Leakage
S20468,V19654,2022-12-05,Brake Pad,12313,Overheating
S20469,V13689,2023-10-07,Transmission,11690,Leakage
S20470,V16574,2024-01-16,Brake Pad,9928,Leakage
S20471,V15974,2022-09-12,Brake Pad,8176,Discharge
S20472,V18438,2023-05-29,Transmission,10583,Wear & Tear
S20473,V16469,2024-03-31,Brake Pad,7218,Overheating
S20474,V15480,2024-03-16,Transmission,8705,Leakage
S20475,V18116,2022-09-29,Battery,9261,Discharge
S20476,V15259,2023-09-18,Engine,9551,Overheating
S20477,V11629,2022-02-10,Transmission,13051,Malfunction
S20478,V11155,2024-07-12,Engine,10522,Leakage
S20479,V16215,2024-09-16,Transmission,1943,Wear & Tear
S20480,V15390,2023-01-26,Suspension,11317,Wear & Tear
S20481,V17124,2022-02-07,Battery,11273,Discharge
S20482,V11525,2024-04-28,Brake Pad,2949,Wear & Tear
S20483,V13776,2024-08-27,Battery,13965,Malfunction
S20484,V19079,2023-03-13,Brake Pad,12652,Wear & Tear
S20485,V19190,2022-10-06,Suspension,11682,Malfunction
S20486,V18752,2022-11-28,AC,4553,Overheating
S20487,V18755,2022-02-24,Engine,8481,Wear & Tear
S20488,V13964,2024-04-07,Transmission,11719,Malfunction
